name,role,baseprice,age,batsmanType,bowlerType,mobile,email,photo
Harshit Nair,All-Rounder,6000,21,Right-Hand Batsman,Left Arm Fast,,,
Simarjeet Yadav,Wicket-Keeper,6250,22,Left-Hand Batsman,N/A,,,
Rajat Das,Batsman,1600,23,Right-Hand Batsman,N/A,,,
Vivaan Pawar,Bowler,1850,24,N/A,Right Arm Fast,,,
Krishna Subramanian,All-Rounder,2100,25,Right-Hand Batsman,Right Arm Medium,,,
Rudra Agarwal,Wicket-Keeper,2350,26,Left-Hand Batsman,N/A,,,
Rahul Mann,Batsman,2600,27,Right-Hand Batsman,N/A,,,
Sandeep Bisht,Bowler,2850,28,N/A,Left Arm Fast,,,
Kunal Pandit,All-Rounder,3100,29,Right-Hand Batsman,Left Arm Orthodox,,,
Siddharth Sharma,Wicket-Keeper,3350,30,Left-Hand Batsman,N/A,,,
Mahesh Joshi,Batsman,3600,31,Right-Hand Batsman,N/A,,,
Yogesh Dubey,Bowler,3850,32,Left-Hand Batsman,Right Arm Medium,,,
Hemant Menon,All-Rounder,4200,19,Right-Hand Batsman,Right Arm Off Break,,,
Omkar Patil,Wicket-Keeper,4450,20,Left-Hand Batsman,N/A,,,
Vivek Khan,Batsman,4700,21,Right-Hand Batsman,N/A,,,
Shubman Arora,Bowler,4950,22,N/A,Left Arm Orthodox,,,
Mohammed Cheema,All-Rounder,5200,23,Right-Hand Batsman,Left Arm Chinaman,,,
Mohammed Shami Tiwari,Wicket-Keeper,5450,24,Left-Hand Batsman,N/A,,,
Hardik Joshi,Batsman,5700,25,Right-Hand Batsman,N/A,,,
Shubham Gupta,Bowler,5950,26,N/A,Right Arm Off Break,,,
Ravi Bishnoi Bhatia,All-Rounder,6200,27,Right-Hand Batsman,Right Arm Leg Break,,,
Suyash Thakur,Wicket-Keeper,6450,28,Left-Hand Batsman,N/A,,,
Manav Naik,Batsman,1800,29,Right-Hand Batsman,N/A,,,
Vicky Hegde,Bowler,2050,30,Left-Hand Batsman,Left Arm Chinaman,,,
Sai Hussain,All-Rounder,2300,31,Right-Hand Batsman,Right Arm Fast,,,
Advik Gill,Wicket-Keeper,2550,32,Left-Hand Batsman,N/A,,,
Rohan Rana,Batsman,2800,19,Right-Hand Batsman,N/A,,,
Rajesh Srivastava,Bowler,3050,20,N/A,Right Arm Leg Break,,,
Harsh Trivedi,All-Rounder,3300,21,Right-Hand Batsman,Left Arm Fast,,,
Piyush Mehta,Wicket-Keeper,3550,22,Left-Hand Batsman,N/A,,,
Gopal Pandey,Batsman,3800,23,Right-Hand Batsman,N/A,,,
Sunil Ghosh,Bowler,4050,24,N/A,Right Arm Fast,,,
Eshan More,All-Rounder,4400,25,Right-Hand Batsman,Right Arm Medium,,,
Lalit Venkatesh,Wicket-Keeper,4650,26,Left-Hand Batsman,N/A,,,
Sagar Goel,Batsman,4900,27,Right-Hand Batsman,N/A,,,
Zubin Sidhu,Bowler,5150,28,Left-Hand Batsman,Left Arm Fast,,,
Ruturaj Khanduri,All-Rounder,5400,29,Right-Hand Batsman,Left Arm Orthodox,,,
Kuldeep Ojha,Wicket-Keeper,5650,30,Left-Hand Batsman,N/A,,,
Ashwin Patel,Batsman,5900,31,Right-Hand Batsman,N/A,,,
Devdutt Kapoor,Bowler,6150,32,N/A,Right Arm Medium,,,
T Natarajan Chauhan,All-Rounder,6400,19,Right-Hand Batsman,Right Arm Off Break,,,
Priyanshu Pillai,Wicket-Keeper,6650,20,Left-Hand Batsman,N/A,,,
Naman Kadam,Batsman,2000,21,Right-Hand Batsman,N/A,,,
Sarfaraz Ansari,Bowler,2250,22,N/A,Left Arm Orthodox,,,
Aditya Khanna,All-Rounder,2500,23,Right-Hand Batsman,Left Arm Chinaman,,,
Ishaan Pannu,Wicket-Keeper,2750,24,Left-Hand Batsman,N/A,,,
Aryan Dixit,Batsman,3000,25,Right-Hand Batsman,N/A,,,
Amit Modi,Bowler,3250,26,Left-Hand Batsman,Right Arm Off Break,,,
Anil Reddy,All-Rounder,3500,27,Right-Hand Batsman,Right Arm Leg Break,,,
Varun Saxena,Wicket-Keeper,3750,28,Left-Hand Batsman,N/A,,,
Abhishek Bose,Batsman,4000,29,Right-Hand Batsman,N/A,,,
Nitin Kulkarni,Bowler,4250,30,N/A,Left Arm Chinaman,,,
Bhavesh Murthy,All-Rounder,4600,31,Right-Hand Batsman,Right Arm Fast,,,
Imran Malik,Wicket-Keeper,4850,32,Left-Hand Batsman,N/A,,,
Parth Sandhu,Batsman,5100,19,Right-Hand Batsman,N/A,,,
Waseem Negi,Bowler,5350,20,N/A,Right Arm Leg Break,,,
Rishabh Awasthi,All-Rounder,5600,21,Right-Hand Batsman,Left Arm Fast,,,
Ravindra Vyas,Wicket-Keeper,5850,22,Left-Hand Batsman,N/A,,,
Umesh Shah,Batsman,6100,23,Right-Hand Batsman,N/A,,,
Suryakumar Mishra,Bowler,6350,24,Left-Hand Batsman,Right Arm Fast,,,
Navdeep Mukherjee,All-Rounder,6600,25,Right-Hand Batsman,Right Arm Medium,,,
Avesh Shinde,Wicket-Keeper,6850,26,Left-Hand Batsman,N/A,,,
Raj Raman,Batsman,2200,27,Right-Hand Batsman,N/A,,,
Sameer Sethi,Bowler,2450,28,N/A,Left Arm Fast,,,
Love Dhillon,All-Rounder,2700,29,Right-Hand Batsman,Left Arm Orthodox,,,
Reyansh Pant,Wicket-Keeper,2950,30,Left-Hand Batsman,N/A,,,
Pranav Upadhyay,Batsman,3200,31,Right-Hand Batsman,N/A,,,
Karan Singh,Bowler,3450,32,N/A,Right Arm Medium,,,
Manoj Malhotra,All-Rounder,3700,19,Right-Hand Batsman,Right Arm Off Break,,,
Yash Rathore,Wicket-Keeper,3950,20,Left-Hand Batsman,N/A,,,
Mohit Nambiar,Batsman,4200,21,Right-Hand Batsman,N/A,,,
Harish Gowda,Bowler,4450,22,Left-Hand Batsman,Left Arm Orthodox,,,
Uday Sheikh,All-Rounder,4800,23,Right-Hand Batsman,Left Arm Chinaman,,,
Farhan Sood,Wicket-Keeper,5050,24,Left-Hand Batsman,N/A,,,
Milan Saini,Batsman,5300,25,Right-Hand Batsman,N/A,,,
Tejas Tripathi,Bowler,5550,26,N/A,Right Arm Off Break,,,
Hardik Parikh,All-Rounder,5800,27,Right-Hand Batsman,Right Arm Leg Break,,,
Tilak Iyer,Wicket-Keeper,6050,28,Left-Hand Batsman,N/A,,,
Yuzvendra Verma,Batsman,6300,29,Right-Hand Batsman,N/A,,,
Chahal Banerjee,Bowler,6550,30,N/A,Left Arm Chinaman,,,
Rahul T Jadhav,All-Rounder,6800,31,Right-Hand Batsman,Right Arm Fast,,,
Mukesh Krishnan,Wicket-Keeper,7050,32,Left-Hand Batsman,N/A,,,
Abhinav Choudhary,Batsman,2400,19,Right-Hand Batsman,N/A,,,
Harshit R Brar,Bowler,2650,20,Left-Hand Batsman,Right Arm Leg Break,,,
Shams Rawat,All-Rounder,2900,21,Right-Hand Batsman,Left Arm Fast,,,
Vihaan Dwivedi,Wicket-Keeper,3150,22,Left-Hand Batsman,N/A,,,
Shaurya Zaveri,Batsman,3400,23,Right-Hand Batsman,N/A,,,
Ansh Desai,Bowler,3650,24,N/A,Right Arm Fast,,,
Suresh Tiwari,All-Rounder,3900,25,Right-Hand Batsman,Right Arm Medium,,,
Ravi Chakraborty,Wicket-Keeper,4150,26,Left-Hand Batsman,N/A,,,
Akash Chavan,Batsman,4400,27,Right-Hand Batsman,N/A,,,
Vishal Iqbal,Bowler,4650,28,N/A,Left Arm Fast,,,
